CourseId,Title,Category,Total_enrollment,Total_Completions,completion_rate
COR0000,Machine Learning Specialization,Machine Learning,4217,2135,50.62840882143704
COR0001,Introduction to Data Science Specialization,Data Analysis,4238,3485,82.23218499292119
COR0002,Data Science Fundamentals with Python and SQL Specialization,Data Analysis,2700,1504,55.7037037037037
COR0003,Key Technologies for Business Specialization,Business Essentials,4308,2527,58.65831012070566
COR0004,Deep Learning Specialization,Machine Learning,4792,2999,62.58347245409015
COR0005,IBM & Darden Digital Strategy Specialization,Machine Learning,3792,3665,96.65084388185655
COR0006,IBM AI Foundations for Business Specialization,Machine Learning,2607,1872,71.80667433831991
COR0007,Data Analysis and Visualization Foundations Specialization,Data Analysis,964,955,99.06639004149378
COR0008,Applied Data Science Specialization,Machine Learning,1246,982,78.81219903691814
COR0009,Data Engineering Foundations Specialization,Data Management,489,288,58.895705521472394
COR0010,IT Fundamentals for Cybersecurity Specialization,Security,3118,2893,92.78383579217447
COR0011,Applied Software Engineering Fundamentals Specialization,Software Development,1590,968,60.880503144654085
COR0012,"DevOps, Cloud, and Agile Foundations Specialization",Design and Product,3681,3161,85.8734039663135
COR0013,Cloud Application Development Foundations Specialization,Cloud Computing,3096,2827,91.31136950904393
COR0014,Python for Everybody Specialization,Software Development,3272,2660,81.2958435207824
COR0015,Information Technology (IT) and Cloud Fundamentals Specialization,Cloud Computing,1172,664,56.655290102389074
COR0016,"BI Foundations with SQL, ETL and Data Warehousing Specialization",Data Management,237,138,58.22784810126582
COR0017,Natural Language Processing Specialization,Machine Learning,4418,4256,96.33318243549117
COR0018,Business Foundations Specialization,Business Essentials,1548,1405,90.76227390180878
COR0019,Meta React Native Specialization,Mobile and Web Development,2884,1864,64.63245492371706
COR0020,Mathematics for Machine Learning and Data Science Specialization,Algorithms,1025,958,93.46341463414635
COR0021,Introduction to Finance and Accounting Specialization,Finance,2673,2470,92.4055368499813
COR0022,AI Foundations for Everyone Specialization,Data Analysis,1258,1165,92.60731319554849
COR0023,Finance & Quantitative Modeling for Analysts Specialization,Finance,2598,1332,51.27020785219399
COR0024,Machine Learning Engineering for Production (MLOps) Specialization,Machine Learning,1076,905,84.10780669144981
COR0025,Business and Financial Modeling Specialization,Business Essentials,2996,1875,62.583444592790386
COR0026,Business Analytics Specialization,Data Analysis,2940,2316,78.77551020408163
COR0027,Excel Skills for Business Specialization,Business Essentials,3613,1917,53.058400221422644
COR0028,Learn SQL Basics for Data Science Specialization,Data Analysis,4489,2552,56.85007796836712
COR0029,The Materiality of ESG Factors Specialization,Finance,2855,1847,64.69352014010508
COR0030,AI For Business Specialization,Leadership and Management,2913,2672,91.72674219018194
COR0031,Digital Product Management Specialization,Design and Product,4502,3585,79.63127498889384
COR0032,Leading the Modern Day Business Specialization,Leadership and Management,2241,1419,63.31994645247657
COR0033,Graphic Design Specialization,Music and Art,974,597,61.293634496919914
COR0034,Security Analyst Fundamentals Specialization,Security,1025,768,74.92682926829268
COR0035,Improve Your English Communication Skills Specialization,Learning English,3603,3112,86.37246738828753
COR0036,Entrepreneurship Specialization,Entrepreneurship,2179,1701,78.06333180357963
COR0037,Foundations of Positive Psychology  Specialization,Business Essentials,178,143,80.33707865168539
COR0038,Data Science Specialization,Data Analysis,3989,2648,66.38255201804964
COR0039,Supply Chain Management Specialization,Business Essentials,2883,1603,55.60180367672564
COR0040,Fintech: Foundations & Applications of Financial Technology Specialization,Business Essentials,2840,2238,78.80281690140845
COR0041,Microsoft 365 Fundamentals Specialization,Business Essentials,3265,1730,52.986217457886674
COR0042,Search Engine Optimization (SEO) Specialization,Marketing,1736,876,50.46082949308756
COR0043,AI Product Management Specialization,Machine Learning,2331,1524,65.37966537966537
COR0044,Introduction to Programming with Python and Java Specialization,Software Development,3821,2672,69.92933786966763
COR0045,Construction Management Specialization,Leadership and Management,2887,1670,57.84551437478351
COR0046,IBM Introduction to Machine Learning Specialization,Data Analysis,2772,1401,50.541125541125545
COR0047,Data Analysis and Presentation Skills: the PwC Approach Specialization,Business Essentials,3820,2957,77.40837696335079
COR0048,AWS Fundamentals Specialization,Cloud Computing,3756,2722,72.47071352502662
COR0049,Data Science: Foundations using R Specialization,Data Analysis,3089,1608,52.055681450307546
COR0050,Python 3 Programming Specialization,Software Development,2360,2130,90.2542372881356
COR0051,Reinforcement Learning Specialization,Machine Learning,1440,1329,92.29166666666667
COR0052,Accelerated Computer Science Fundamentals Specialization,Algorithms,693,546,78.78787878787878
COR0053,Digital Marketing Specialization,Marketing,2172,1696,78.08471454880295
COR0054,DevOps on AWS Specialization,Software Development,3016,2108,69.89389920424404
COR0055,Generative Adversarial Networks (GANs) Specialization,Machine Learning,3208,1992,62.094763092269325
COR0056,Data Visualization with Tableau Specialization,Data Analysis,317,216,68.13880126182966
COR0057,Certified in Cybersecurity Specialization,Security,913,799,87.51369112814896
COR0058,Business Strategy Specialization,Business Strategy,4472,4431,99.08318425760287
COR0059,Applied Data Science with Python Specialization,Data Analysis,779,413,53.01668806161746
COR0060,Human Resource Management: HR for People Managers Specialization,Business Strategy,304,195,64.14473684210526
COR0061,Achieving Personal and Professional Success Specialization,Personal Development,572,333,58.21678321678322
COR0062,Regulatory Compliance Specialization,Business Essentials,2328,1330,57.13058419243986
