ID,Title,Short_Intro,Category,Enrollment,Completions,URL
COR0000,Machine Learning Specialization,"#BreakIntoAI with Machine Learning Specialization. Master fundamental AI concepts and develop practical machine learning skills in the beginner-friendly, 3-course program by AI visionary Andrew Ng",Machine Learning,4217,2135,https://www.coursera.org/specializations/machine-learning-introduction
COR0001,Introduction to Data Science Specialization,Launch your career in data science. Gain foundational data science skills to prepare for a career or further advanced learning in data science. ,Data Analysis,4238,3485,https://www.coursera.org/specializations/introduction-data-science
COR0002,Data Science Fundamentals with Python and SQL Specialization,"Build the Foundation for your Data Science career. Develop hands-on experience with Jupyter, Python, SQL. Perform Statistical Analysis on real data sets.",Data Analysis,2700,1504,https://www.coursera.org/specializations/data-science-fundamentals-python-sql
COR0003,Key Technologies for Business Specialization,Get Ahead with Key Business Technologies. Gain Foundational Understanding of Key Technologies Driving Modern Businesses ,Business Essentials,4308,2527,https://www.coursera.org/specializations/key-technologies-for-business
COR0004,Deep Learning Specialization,Become a Machine Learning expert. Master the fundamentals of deep learning and break into AI. Recently updated with cutting-edge techniques!,Machine Learning,4792,2999,https://www.coursera.org/specializations/deep-learning
COR0005,IBM & Darden Digital Strategy Specialization,Get ahead with key business and technical skills. Understand how current technologies are changing industry and create strategy to transform your business,Machine Learning,3792,3665,https://www.coursera.org/specializations/digital-strategy
COR0006,IBM AI Foundations for Business Specialization,,Machine Learning,2607,1872,https://www.coursera.org/specializations/ibm-ai-foundations-for-business
COR0007,Data Analysis and Visualization Foundations Specialization,"Get ahead w/ Data Analysis & Visualization skills. Enhance your career by learning to analyze data using Excel spreadsheets, and create stunning visualizations and interactive dashboards with Cognos.",Data Analysis,964,955,https://www.coursera.org/specializations/data-analysis-visualization-foundations
COR0008,Applied Data Science Specialization,"Get hands-on skills for a career in data science. Learn Python, analyze and visualize data. Apply your skills to data science and machine learning. ",Machine Learning,1246,982,https://www.coursera.org/specializations/applied-data-science
COR0009,Data Engineering Foundations Specialization,"Build the Foundation for a Data Engineering Career. Develop hands-on experience with Python, SQL, and Relational Databases and master the fundamentals of the Data Engineering ecosystem. ",Data Management,489,288,https://www.coursera.org/specializations/data-engineering-foundations
COR0010,IT Fundamentals for Cybersecurity Specialization,Launch your career in Cybersecurity. Acquire the knowledge you need to work in Cybersecurity,Security,3118,2893,https://www.coursera.org/specializations/it-fundamentals-cybersecurity
COR0011,Applied Software Engineering Fundamentals Specialization,"Build the foundation of your career in Software. Develop hands-on experience with Git, GitHub, Linux, and Python, and learn the fundamentals of Software Engineering. ",Software Development,1590,968,https://www.coursera.org/specializations/software-engineering-fundamentals
COR0012,"DevOps, Cloud, and Agile Foundations Specialization",,Design and Product,3681,3161,https://www.coursera.org/specializations/devops-cloud-and-agile-foundations
COR0013,Cloud Application Development Foundations Specialization,Kickstart Your Career as a Cloud Native Developer. Learn the foundational front-end and back-end skills for developing and deploying applications on Cloud.,Cloud Computing,3096,2827,https://www.coursera.org/specializations/ibm-cloud-application-development-foundations
COR0014,Python for Everybody Specialization,"Learn to Program and Analyze Data with Python. Develop programs to gather, clean, analyze, and visualize data.",Software Development,3272,2660,https://www.coursera.org/specializations/python
COR0015,Information Technology (IT) and Cloud Fundamentals Specialization,"Kickstart a new IT and Cloud Career . Master hardware, operating systems, programming, database, networking, storage, cybersecurity, and Cloud computing essentials. ",Cloud Computing,1172,664,https://www.coursera.org/specializations/it-cloud-fundamentals
COR0016,"BI Foundations with SQL, ETL and Data Warehousing Specialization","Springboard for BI Analytics success. Develop hands-on skills for building data pipelines, warehouses,  reports and dashboards.",Data Management,237,138,https://www.coursera.org/specializations/bi-foundations-sql-etl-data-warehouse
COR0017,Natural Language Processing Specialization,Break into NLP. Master cutting-edge NLP techniques through four hands-on courses! Updated with the latest techniques in October '21.,Machine Learning,4418,4256,https://www.coursera.org/specializations/natural-language-processing
COR0018,Business Foundations Specialization,"Solve Real Business Problems. Build a foundation of core business skills in marketing, finance, accounting and operations.",Business Essentials,1548,1405,https://www.coursera.org/specializations/wharton-business-foundations
COR0019,Meta React Native Specialization,"Become a cross-platform mobile app developer. Learn in-demand skills for developing reliable, scalable and user-friendly mobile apps for multiple operating systems, such as iOS and Android.",Mobile and Web Development,2884,1864,https://www.coursera.org/specializations/meta-react-native
COR0020,Mathematics for Machine Learning and Data Science Specialization,"Master the Toolkit of AI and Machine Learning. Mathematics for Machine Learning and Data Science is a beginner-friendly Specialization where you’ll learn the fundamental mathematics toolkit of machine learning: calculus, linear algebra, statistics, and probability.",Algorithms,1025,958,https://www.coursera.org/specializations/mathematics-for-machine-learning-and-data-science
COR0021,Introduction to Finance and Accounting Specialization,Learn the basics of finance and accounting. Build a foundation of core business skills in finance and accounting,Finance,2673,2470,https://www.coursera.org/specializations/finance-accounting
COR0022,AI Foundations for Everyone Specialization,,Data Analysis,1258,1165,https://www.coursera.org/specializations/ai-foundations-for-everyone
COR0023,Finance & Quantitative Modeling for Analysts Specialization,,Finance,2598,1332,https://www.coursera.org/specializations/finance-quantitative-modeling-analysts
COR0024,Machine Learning Engineering for Production (MLOps) Specialization,Become a Machine Learning expert. Productionize your machine learning knowledge and expand your production engineering capabilities.,Machine Learning,1076,905,https://www.coursera.org/specializations/machine-learning-engineering-for-production-mlops
COR0025,Business and Financial Modeling Specialization,Build Business and Financial Models. Use spreadsheet models to make data-driven financial decisions,Business Essentials,2996,1875,https://www.coursera.org/specializations/wharton-business-financial-modeling
COR0026,Business Analytics Specialization,Make Data-Driven Business Decisions. Achieve fluency in business data strategies in four discipline-specific courses.,Data Analysis,2940,2316,https://www.coursera.org/specializations/business-analytics
COR0027,Excel Skills for Business Specialization,Learn Excel Skills for Business. Master Excel to add a highly valuable asset to your employability portfolio. ,Business Essentials,3613,1917,https://www.coursera.org/specializations/excel
COR0028,Learn SQL Basics for Data Science Specialization,,Data Analysis,4489,2552,https://www.coursera.org/specializations/learn-sql-basics-data-science
COR0029,The Materiality of ESG Factors Specialization,Learn about ESG Factors When Investing. Analyze the importance of ESG investing. Identify how the ESG approach should be an essential piece of your strategy based on various factors impacting and driving value.,Finance,2855,1847,https://www.coursera.org/specializations/materiality-esg-factors
COR0030,AI For Business Specialization,"Learn the Fundamentals of  AI and Machine Learning. Develop a deployment strategy for incorporating AI, ML, and Big Data into your organization that will take advantage of cutting-edge technologies",Leadership and Management,2913,2672,https://www.coursera.org/specializations/ai-for-business-wharton
