ID,UserId,CourseId,Progress,StartDate,Completed
EN0001,EMP073,COR1261,100,2022-01-01,1
EN0002,EMP297,COR0666,100,2022-01-01,1
EN0003,EMP224,COR1590,22,2022-01-01,0
EN0004,EMP233,COR0650,21,2022-01-01,0
EN0005,EMP297,COR0573,33,2022-01-01,0
EN0006,EMP159,COR1242,39,2022-01-02,0
EN0007,EMP209,COR0428,100,2022-01-02,1
EN0008,EMP041,COR1943,100,2022-01-03,1
EN0009,EMP297,COR1721,18,2022-01-03,0
EN0010,EMP201,COR0965,36,2022-01-03,0
EN0011,EMP124,COR1548,100,2022-01-03,1
EN0012,EMP114,COR0687,1,2022-01-04,0
EN0013,EMP163,COR1042,100,2022-01-04,1
EN0014,EMP149,COR1167,18,2022-01-04,0
EN0015,EMP112,COR0399,100,2022-01-04,1
EN0016,EMP194,COR1862,5,2022-01-04,0
EN0017,EMP046,COR0741,27,2022-01-05,0
EN0018,EMP274,COR0764,61,2022-01-05,0
EN0019,EMP088,COR1019,100,2022-01-05,1
EN0020,EMP228,COR0059,100,2022-01-05,1
EN0021,EMP215,COR0009,88,2022-01-05,0
EN0022,EMP175,COR0154,100,2022-01-06,1
EN0023,EMP297,COR0339,100,2022-01-06,1
EN0024,EMP052,COR1843,4,2022-01-06,0
EN0025,EMP251,COR0114,21,2022-01-07,0
EN0026,EMP262,COR1283,100,2022-01-07,1
EN0027,EMP111,COR1220,44,2022-01-07,0
EN0028,EMP086,COR1991,100,2022-01-07,1
EN0029,EMP228,COR0032,100,2022-01-07,1
EN0030,EMP255,COR1427,4,2022-01-08,0
EN0031,EMP231,COR0331,100,2022-01-08,1
EN0032,EMP013,COR1454,56,2022-01-09,0
EN0033,EMP233,COR0304,100,2022-01-09,1
EN0034,EMP246,COR0344,100,2022-01-09,1
EN0035,EMP214,COR0053,100,2022-01-09,1
EN0036,EMP115,COR1168,77,2022-01-10,0
EN0037,EMP136,COR1786,27,2022-01-10,0
EN0038,EMP213,COR0378,100,2022-01-10,1
EN0039,EMP191,COR1412,8,2022-01-10,0
EN0040,EMP167,COR0759,34,2022-01-10,0
EN0041,EMP071,COR0725,96,2022-01-11,0
EN0042,EMP237,COR0131,100,2022-01-11,1
EN0043,EMP166,COR0246,100,2022-01-12,1
EN0044,EMP149,COR1211,100,2022-01-12,1
EN0045,EMP239,COR0704,100,2022-01-12,1
