CourseID,title,short_intro,category,total_enrollments,completion_rate,total_completions,skills
COR0000,Machine Learning Specialization,Mrs I process study either why edge force. Industry investment enjoy tree same past.,Machine Learning,4217,0.5062840882143704,2135,"['Python', 'Collaboration', 'Agile Development', 'Software Development']"
COR0001,Introduction to Data Science Specialization,Must whole local girl game listen second defense. Little or drop.,Data Analysis,4238,0.8223218499292119,3485,"['Agile Development', 'Python', 'Software Development']"
COR0002,Data Science Fundamentals with Python and SQL Specialization,Dinner some car white quality sea.,Data Analysis,2700,0.557037037037037,1504,"['Project Management', 'Data Analysis']"
COR0003,Key Technologies for Business Specialization,Sport town Democrat forget draw. Special pass beat live process talk.,Business Essentials,4308,0.5865831012070566,2527,"['Data Analysis', 'Project Management']"
COR0004,Deep Learning Specialization,City tree wrong myself. Produce board compare want reach spring explain.,Machine Learning,4792,0.6258347245409015,2999,"['Python', 'Agile Development', 'Project Management']"
COR0005,IBM & Darden Digital Strategy Specialization,Anyone least some however into use itself.,Machine Learning,3792,0.9665084388185654,3665,"['Problem Solving', 'Agile Development', 'Data Analysis']"
COR0006,IBM AI Foundations for Business Specialization,Attention value animal government. Participant table meet economic rich series part.,Machine Learning,2607,0.7180667433831991,1872,"['Excel', 'Project Management']"
COR0007,Data Analysis and Visualization Foundations Specialization,Two serious wait push.,Data Analysis,964,0.9906639004149378,955,"['Creativity', 'Problem Solving']"
COR0008,Applied Data Science Specialization,Kitchen economy hear child lead.,Machine Learning,1246,0.7881219903691814,982,"['Creativity', 'Python', 'Problem Solving', 'Software Development']"
COR0009,Data Engineering Foundations Specialization,Loss least look party hotel. Main recent show mention brother do.,Data Management,489,0.588957055214724,288,"['Excel', 'Software Development', 'Agile Development']"
COR0010,IT Fundamentals for Cybersecurity Specialization,Pull report direction. Available new population why later area capital certainly.,Security,3118,0.9278383579217448,2893,"['Agile Development', 'Problem Solving', 'Python']"
COR0011,Applied Software Engineering Fundamentals Specialization,Today ball whether generation mission they particularly.,Software Development,1590,0.6088050314465409,968,"['Excel', 'Python']"
COR0012,"DevOps, Cloud, and Agile Foundations Specialization",Drug owner pick southern race course. Prepare begin key be land evidence.,Design and Product,3681,0.858734039663135,3161,"['Critical Thinking', 'Problem Solving', 'Python']"
COR0013,Cloud Application Development Foundations Specialization,Beat start it ground concern approach matter.,Cloud Computing,3096,0.9131136950904392,2827,"['Excel', 'Data Analysis']"
COR0014,Python for Everybody Specialization,Series base out age garden. First knowledge expert.,Software Development,3272,0.812958435207824,2660,"['Data Analysis', 'Communication']"
COR0015,Information Technology (IT) and Cloud Fundamentals Specialization,Sense discover religious. Do star especially remain.,Cloud Computing,1172,0.5665529010238908,664,"['Creativity', 'Data Analysis', 'Agile Development', 'Financial Modeling']"
COR0016,"BI Foundations with SQL, ETL and Data Warehousing Specialization",Prepare home price into rate career call. Democratic dinner build region.,Data Management,237,0.5822784810126582,138,"['Data Analysis', 'Problem Solving', 'Excel']"
COR0017,Natural Language Processing Specialization,Factor participant possible myself. Also need lay police.,Machine Learning,4418,0.9633318243549116,4256,"['Problem Solving', 'Python', 'Collaboration']"
COR0018,Business Foundations Specialization,Table interview central people. Challenge let manage skin.,Business Essentials,1548,0.907622739018088,1405,"['Software Development', 'Problem Solving', 'Excel', 'Project Management']"
COR0019,Meta React Native Specialization,Public nice treat manager.,Mobile and Web Development,2884,0.6463245492371706,1864,"['Creativity', 'Collaboration']"
COR0020,Mathematics for Machine Learning and Data Science Specialization,Adult few claim. Meet enter civil.,Algorithms,1025,0.9346341463414636,958,"['Creativity', 'Excel', 'Software Development', 'Agile Development']"
COR0021,Introduction to Finance and Accounting Specialization,They they sometimes happen performance marriage. Face order successful audience population husband wind.,Finance,2673,0.924055368499813,2470,"['Python', 'Excel']"
COR0022,AI Foundations for Everyone Specialization,Management step understand dream very everything team. Quite kid different other top.,Data Analysis,1258,0.9260731319554848,1165,"['Collaboration', 'Software Development', 'Financial Modeling', 'Problem Solving']"
COR0023,Finance & Quantitative Modeling for Analysts Specialization,Tell strong ball no. Order gas radio body.,Finance,2598,0.5127020785219399,1332,"['Communication', 'Excel', 'Financial Modeling']"
COR0024,Machine Learning Engineering for Production (MLOps) Specialization,Bill camera safe. Good either turn item young per move financial.,Machine Learning,1076,0.8410780669144982,905,"['Financial Modeling', 'Excel']"
COR0025,Business and Financial Modeling Specialization,When network walk and. Above happen under term process country.,Business Essentials,2996,0.6258344459279038,1874,"['Critical Thinking', 'Financial Modeling', 'Excel']"
COR0026,Business Analytics Specialization,Type along law. Former word think second sound bad.,Data Analysis,2940,0.7877551020408163,2316,"['Collaboration', 'Software Development', 'Excel', 'Critical Thinking']"
COR0027,Excel Skills for Business Specialization,Fill on street involve by nice.,Business Essentials,3613,0.5305840022142264,1917,"['Data Analysis', 'Critical Thinking', 'Financial Modeling']"
COR0028,Learn SQL Basics for Data Science Specialization,Pick likely discover. Mission ever artist knowledge administration.,Data Analysis,4489,0.5685007796836712,2552,"['Agile Development', 'Problem Solving', 'Project Management', 'Critical Thinking']"
COR0029,The Materiality of ESG Factors Specialization,Eat last night campaign stand capital fact.,Finance,2855,0.6469352014010508,1847,"['Excel', 'Software Development', 'Project Management', 'Data Analysis']"
COR0030,AI For Business Specialization,Significant policy son budget.,Leadership and Management,2913,0.9172674219018194,2672,"['Project Management', 'Data Analysis', 'Python']"
COR0031,Digital Product Management Specialization,Share read public.,Design and Product,4502,0.7963127498889383,3585,"['Data Analysis', 'Creativity']"
COR0032,Leading the Modern Day Business Specialization,Possible human hospital relationship process sit not under.,Leadership and Management,2241,0.6331994645247657,1419,"['Software Development', 'Financial Modeling', 'Excel', 'Data Analysis']"
COR0033,Graphic Design Specialization,Receive trip strong him dark best space. Serious seven mind method simple do TV pass.,Music and Art,974,0.6129363449691991,597,"['Critical Thinking', 'Creativity']"
COR0034,Security Analyst Fundamentals Specialization,Feeling wait voice send ability air. Identify movie current attention television begin.,Security,1025,0.7492682926829268,768,"['Creativity', 'Agile Development', 'Excel', 'Data Analysis']"
COR0035,Improve Your English Communication Skills Specialization,Each certainly prepare truth.,Learning English,3603,0.8637246738828753,3112,"['Excel', 'Creativity']"
COR0036,Entrepreneurship Specialization,Can that base training why see.,Entrepreneurship,2179,0.7806333180357963,1701,"['Data Analysis', 'Software Development']"
COR0037,Foundations of Positive Psychology  Specialization,Analysis turn community tend direction.,Business Essentials,178,0.8033707865168539,143,"['Communication', 'Python']"
COR0038,Data Science Specialization,Middle inside better agree special rest. Doctor market factor away.,Data Analysis,3989,0.6638255201804963,2648,"['Excel', 'Financial Modeling', 'Creativity']"
COR0039,Supply Chain Management Specialization,Knowledge many along fight this those.,Business Essentials,2883,0.5560180367672564,1603,"['Agile Development', 'Data Analysis']"
COR0040,Fintech: Foundations & Applications of Financial Technology Specialization,Economy behind thank east look him.,Business Essentials,2840,0.7880281690140845,2238,"['Problem Solving', 'Critical Thinking', 'Software Development', 'Financial Modeling']"
