EnrollmentID,UserID,CourseID,grade,completed,progress
00001,EMP001,COR1449,71,True,100
00002,EMP001,COR1038,0,False,13
00003,EMP001,COR0198,0,False,97
00004,EMP001,COR0595,0,False,41
00005,EMP001,COR1621,72,True,100
00006,EMP001,COR0511,89,True,100
00007,EMP001,COR1527,82,True,100
00008,EMP002,COR0288,96,True,100
00009,EMP002,COR1109,96,True,100
00010,EMP002,COR0754,92,True,100
00011,EMP002,COR0142,82,True,100
00012,EMP003,COR0636,74,True,100
00013,EMP003,COR1719,97,True,100
00014,EMP003,COR1346,0,False,65
00015,EMP004,COR1091,85,True,100
00016,EMP004,COR0692,0,False,82
00017,EMP004,COR0033,92,True,100
00018,EMP005,COR0637,74,True,100
00019,EMP005,COR0424,99,True,100
00020,EMP005,COR0807,82,True,100
00021,EMP005,COR0442,87,True,100
00022,EMP006,COR1349,82,True,100
00023,EMP006,COR0836,83,True,100
00024,EMP006,COR1180,72,True,100
00025,EMP006,COR0785,82,True,100
00026,EMP006,COR1448,0,False,79
00027,EMP006,COR0530,0,False,3
00028,EMP006,COR0397,71,True,100
00029,EMP007,COR0798,89,True,100
00030,EMP007,COR1374,82,True,100
00031,EMP007,COR0449,0,False,1
00032,EMP007,COR1064,98,True,100
00033,EMP007,COR1244,84,True,100
00034,EMP007,COR1887,76,True,100
00035,EMP008,COR0134,72,True,100
00036,EMP008,COR1903,94,True,100
00037,EMP008,COR1314,99,True,100
00038,EMP008,COR1736,0,False,1
00039,EMP008,COR0857,73,True,100
00040,EMP008,COR1234,82,True,100
00041,EMP009,COR1400,85,True,100
00042,EMP009,COR0456,0,False,78
00043,EMP009,COR0135,99,True,100
00044,EMP009,COR1664,73,True,100
00045,EMP009,COR1608,88,True,100
00046,EMP009,COR0816,73,True,100
00047,EMP010,COR0969,88,True,100
00048,EMP010,COR0114,0,False,86
00049,EMP010,COR1599,77,True,100
00050,EMP011,COR1005,90,True,100
00051,EMP011,COR0913,0,False,16
00052,EMP011,COR1267,75,True,100
00053,EMP011,COR1041,75,True,100
00054,EMP011,COR1451,0,False,13
00055,EMP011,COR0017,0,False,82
00056,EMP012,COR1305,70,True,100
00057,EMP012,COR1983,0,False,14
00058,EMP012,COR0197,82,True,100
00059,EMP013,COR1271,0,False,59
00060,EMP013,COR1255,0,False,73
00061,EMP013,COR1378,0,False,52
00062,EMP013,COR0025,73,True,100
00063,EMP013,COR1333,83,True,100
00064,EMP014,COR1542,100,True,100
00065,EMP014,COR0639,79,True,100
00066,EMP014,COR1622,70,True,100
00067,EMP014,COR1405,91,True,100
00068,EMP015,COR1315,0,False,31
00069,EMP015,COR1945,94,True,100
00070,EMP015,COR0462,92,True,100
00071,EMP015,COR0597,71,True,100
00072,EMP016,COR1055,91,True,100
00073,EMP016,COR1372,72,True,100
00074,EMP016,COR0436,0,False,47
00075,EMP017,COR1805,83,True,100
00076,EMP017,COR0658,84,True,100
00077,EMP017,COR1505,75,True,100
00078,EMP017,COR0669,0,False,21
00079,EMP017,COR0116,92,True,100
00080,EMP018,COR1400,97,True,100
00081,EMP018,COR1591,93,True,100
00082,EMP018,COR1290,79,True,100
00083,EMP018,COR0395,71,True,100
00084,EMP018,COR0956,99,True,100
00085,EMP018,COR0817,0,False,45
00086,EMP019,COR0006,92,True,100
00087,EMP019,COR0699,92,True,100
00088,EMP019,COR0774,100,True,100
00089,EMP019,COR1651,94,True,100
00090,EMP019,COR0891,77,True,100
00091,EMP020,COR1939,78,True,100
00092,EMP020,COR1217,89,True,100
00093,EMP020,COR1056,76,True,100
00094,EMP021,COR0378,82,True,100
00095,EMP021,COR0389,91,True,100
00096,EMP021,COR0502,77,True,100
00097,EMP021,COR0471,77,True,100
00098,EMP021,COR1070,86,True,100
00099,EMP022,COR1395,99,True,100
00100,EMP022,COR1413,100,True,100
00101,EMP022,COR0659,94,True,100
00102,EMP022,COR0826,83,True,100
00103,EMP022,COR1257,94,True,100
00104,EMP023,COR0073,95,True,100
00105,EMP023,COR0751,0,False,97
00106,EMP023,COR1391,74,True,100
00107,EMP023,COR0913,0,False,24
00108,EMP023,COR1322,0,False,30
00109,EMP023,COR0549,98,True,100
00110,EMP024,COR0116,78,True,100
00111,EMP024,COR1864,98,True,100
00112,EMP024,COR0832,89,True,100
00113,EMP024,COR1489,80,True,100
00114,EMP024,COR1493,0,False,27
00115,EMP025,COR1895,78,True,100
00116,EMP025,COR1580,0,False,36
00117,EMP025,COR1808,77,True,100
00118,EMP025,COR1665,73,True,100
00119,EMP025,COR0117,83,True,100
00120,EMP026,COR0863,82,True,100
00121,EMP026,COR1755,89,True,100
00122,EMP026,COR1271,79,True,100
00123,EMP026,COR1850,99,True,100
00124,EMP026,COR1136,97,True,100
00125,EMP026,COR1927,95,True,100
00126,EMP026,COR0135,86,True,100
00127,EMP027,COR1654,98,True,100
00128,EMP027,COR1964,70,True,100
00129,EMP027,COR1148,76,True,100
00130,EMP027,COR0192,73,True,100
00131,EMP028,COR1368,99,True,100
00132,EMP028,COR1997,72,True,100
00133,EMP028,COR0800,88,True,100
00134,EMP028,COR0522,74,True,100
00135,EMP028,COR1519,94,True,100
00136,EMP028,COR1025,98,True,100
